Município;Assist_Soc;Psic;Psiqui;Acoes_prom;Acoes_comp;2017;2018;2019;2020;2021;Ar_Ter_km2;Pop_Est;PIB;IDH
410740 Enéas Marques;1.0;3.0;0.0;11920;0;0;0;0;0;0;13856;16330;2854776;6.89
411230 Japira;1.0;1.0;0.0;323;0;52;0;0;0;0;4133860;110670;2202085;6.89
411470 Maria Helena;2.0;2.0;0.0;519;0;34;0;0;0;0;3844240;87930;3761062;6.91
410345 Cafelândia;4.0;8.0;0.0;68574;0;138;173;0;0;0;3353920;39750;2533749;6.92
410337 Brasilândia do Sul;0.0;2.0;0.0;18835;0;26;25;0;0;0;1858;29730;2315644;6.93
410870 Grandes Rios;2.0;3.0;0.0;10940;0;0;0;0;0;0;49394;66350;3466925;6.93
412480 São João;0.0;3.0;0.0;25072;662;95;96;24;22;662;3533310;98970;2710918;6.93
412650 Sertanópolis;3.0;8.0;1.0;11370;0;141;94;0;0;0;1707590;28800;3070735;6.93
410560 Cidade Gaúcha;2.0;5.0;0.0;79242;0;0;0;0;0;0;7036380;163440;2793592;6.94
411090 Itaguajé;1.0;2.0;0.0;0;0;0;0;0;0;0;2073420;65160;2435268;6.94
411890 Pérola;2.0;5.0;0.0;39131;0;12879;12166;9048;1210;0;2547920;130150;6303325;6.94
410100 Ampére;2.0;3.0;1.0;56656;65;317;567;1309;0;65;1028950;27740;3028995;6.95
411915 Pinhais;12.0;43.0;8.0;240519;0;1364;1141;0;0;0;974630;27420;1894992;6.95
412610 São Tomé;1.0;2.0;0.0;15316;0;81;36;0;0;0;1035010;988880;1661793;6.95
412785 Três Barras do Paraná;2.0;4.0;0.0;1190;0;0;0;0;0;0;6988710;85020;2339533;6.95
410060 Alto Paraná;2.0;2.0;0.0;0;0;0;0;0;0;0;4077190;149450;2243078;6.96
410220 Atalaia;2.0;4.0;1.0;20926;0;16;0;0;0;0;3489260;132380;5391582;6.96
410240 Bandeirantes;5.0;10.0;4.0;2352;0;301;160;0;0;0;5386360;112870;179935;6.96
411200 Jaguariaíva;4.0;6.0;1.0;77317;0;210;115;0;0;0;33565;49480;2946287;6.96
411210 Jandaia do Sul;8.0;17.0;5.0;1593;0;0;0;0;0;0;1878020;49290;2025496;6.96
412360 Santa Inês;0.0;0.0;0.0;0;0;0;0;0;0;0;3211820;149240;2215536;6.96
412400 Santana do Itararé;2.0;2.0;0.0;21925;0;56;61;0;0;0;2190680;26110;1842312;6.96
410310 Bocaiúva do Sul;1.0;3.0;1.0;793;0;66;0;0;0;0;1738170;34720;2028939;6.97
411910 Piên;1.0;3.0;0.0;3880;0;88;152;0;4;0;2206250;63230;2486889;6.97
412670 Tamboara;1.0;2.0;0.0;183;0;23;6;0;0;0;4343710;54520;231096;6.97
410900 Guapirama;1.0;1.0;1.0;26151;0;0;0;0;0;0;21168;55570;1942376;6.98
411510 Mariluz;0.0;2.0;0.0;28188;0;83;35;0;0;0;2303650;66550;4268171;6.98
411640 Nossa Senhora das Graças;2.0;2.0;0.0;982;0;7;0;0;0;0;1294760;34240;214320;6.98
410040 Almirante Tamandaré;6.0;16.0;2.0;1452;0;890;711;0;0;0;1948880;1214200;1316804;6.99
412620 Sapopema;1.0;1.0;0.0;13565;0;52;24;0;0;0;1520840;55780;14526627;6.99
412760 Tijucas do Sul;1.0;5.0;0.0;31971;0;0;0;0;0;0;5914380;76990;2489533;6.99
412853 Ventania;1.0;1.0;0.0;0;0;19;0;0;0;0;32709;83890;2991857;6.99
